tcgplayer_id,directLow,market,low,mid
6215 (Foil),72.54,104.31,71.72,116.08
6947 (Nonfoil),,10.6,6.63,10.4
6947 (Foil),,,,
5913 (Nonfoil),11.0,12.82,9.21,13.77
5913 (Foil),,,,
34444 (Nonfoil),26.0,30.27,23.95,33.42
34444 (Foil),84.79,146.02,79.0,97.74
34384 (Nonfoil),,88.63,70.0,89.0
34384 (Foil),,484.97,354.0,427.96
33250 (Nonfoil),10.59,11.45,8.59,13.73
33250 (Foil),,18.96,16.18,19.44
57621 (Nonfoil),6.94,5.81,4.44,6.62
57621 (Foil),10.98,13.23,9.45,15.15
59549 (Nonfoil),,6.79,5.0,7.46
59549 (Foil),,,,
66601 (Nonfoil),4.4,2.91,1.0,4.5
66601 (Foil),,13.68,9.75,14.67
68253 (Nonfoil),,17.63,15.0,19.88
68253 (Foil),27.78,28.92,20.47,27.22
82745 (Nonfoil),3.26,4.45,2.5,5.0
82745 (Foil),,,,
93765 (Nonfoil),4.03,3.69,3.1,5.65
93765 (Foil),,,,
100096 (Nonfoil),9.99,10.63,7.55,11.0
100096 (Foil),,23.49,19.0,22.6
100191 (Nonfoil),22.62,22.48,18.49,25.38
100191 (Foil),,46.94,42.95,53.73
121625 (Foil),,117.47,97.85,122.5
121625 (Nonfoil),22.46,21.35,16.01,24.01
121450 (Foil),,84.98,85.99,90.52
121450 (Nonfoil),14.27,12.38,10.31,15.25
121628 (Nonfoil),11.89,10.38,8.77,11.29
121628 (Foil),62.5,65.61,62.12,67.91
126405 (Foil),,10.62,9.0,10.98
126405 (Nonfoil),7.29,6.64,5.0,7.07
129816 (Foil),,12.9,10.98,16.06
129816 (Nonfoil),6.73,7.7,5.78,7.76
129540 (Nonfoil),,,,
129540 (Foil),51.76,51.76,48.0,51.9
129545 (Foil),288.08,252.62,279.9,299.48
129545 (Nonfoil),,,,
139796 (Nonfoil),29.97,27.12,23.85,29.11
139796 (Foil),,,,
139830 (Foil),,,,
139830 (Nonfoil),,37.73,32.5,40.32
145331 (Foil),,38.66,43.92,48.5
145331 (Nonfoil),,30.31,28.53,35.0
145317 (Foil),,17.15,16.0,17.25
145317 (Nonfoil),,15.0,12.6,15.49
145291 (Nonfoil),,17.07,15.0,17.82
145291 (Foil),,24.57,19.2,22.25
168773 (Foil),,17.46,16.0,24.99
168773 (Nonfoil),13.24,15.09,10.0,15.0
176855 (Foil),2.38,2.92,2.0,2.9
176855 (Nonfoil),0.79,1.4,0.5,1.68
175574 (Nonfoil),1.01,1.02,0.37,1.19
175574 (Foil),,2.58,2.18,2.95
176561 (Foil),,2.22,1.5,2.73
176561 (Nonfoil),0.73,0.73,0.25,1.07
180794 (Foil),12.47,15.29,12.47,18.89
180794 (Nonfoil),8.09,7.3,5.8,7.49
183227 (Foil),,3.26,3.0,4.75
183227 (Nonfoil),2.83,2.49,1.29,2.46
183033 (Foil),,38.25,37.99,43.0
183033 (Nonfoil),,16.74,14.17,16.99
183174 (Nonfoil),0.68,0.55,0.24,0.81
183174 (Foil),,1.42,1.0,2.37
188637 (Foil),10.08,8.41,5.57,8.39
188637 (Nonfoil),3.28,3.78,2.1,4.27
188638 (Nonfoil),,,,
188638 (Foil),2.53,2.78,2.0,3.09
190647 (Nonfoil),48.0,41.42,39.5,48.97
190647 (Foil),199.94,169.7,169.49,199.42
190873 (Foil),22.97,23.46,19.99,29.94
190873 (Nonfoil),8.05,7.69,6.35,9.71
192616 (Nonfoil),0.2,0.25,0.14,0.49
192616 (Foil),1.69,1.92,1.28,2.26
192559 (Foil),,8.82,7.0,9.63
192559 (Nonfoil),7.39,5.52,4.74,6.49
192694 (Foil),,2.07,1.0,2.09
192694 (Nonfoil),,,,
199057 (Foil),2.22,2.2,1.8,2.93
199057 (Nonfoil),1.97,1.85,1.0,1.94
199058 (Nonfoil),,5.03,4.16,5.6
199058 (Foil),,16.95,16.61,21.5
198979 (Foil),,39.86,38.5,40.74
198979 (Nonfoil),8.79,8.86,7.96,9.75
198945 (Foil),10.25,9.76,8.76,10.47
198945 (Nonfoil),,2.51,1.95,3.32
199346 (Nonfoil),0.1,0.23,0.08,0.49
199346 (Foil),,0.55,0.35,1.09
199426 (Nonfoil),1.0,0.93,0.14,1.28
199426 (Foil),2.31,2.69,1.99,4.19
198399 (Foil),,10.1,9.49,12.19
198399 (Nonfoil),,2.86,2.0,3.61
198557 (Nonfoil),1.77,1.23,0.49,1.42
198557 (Foil),,1.4,0.99,2.0
199302 (Foil),0.73,1.05,0.56,1.87
199302 (Nonfoil),0.42,0.49,0.25,1.0
199303 (Foil),,13.18,9.99,13.18
199303 (Nonfoil),3.89,3.64,2.1,3.99
199465 (Foil),1.27,1.46,0.8,1.7
199465 (Nonfoil),0.95,0.85,0.25,1.18
206668 (Nonfoil),6.23,6.82,4.49,7.15
206668 (Foil),16.5,17.29,15.99,19.61
207070 (Foil),,5.27,4.75,5.94
